date,store,product,brand,category,price
2026-07-29,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-07-29,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-07-30,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-07-30,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-07-30,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,6.25
2026-07-30,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-07-30,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-07-30,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-07-30,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-07-31,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-07-31,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-07-31,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-07-31,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-07-31,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-07-31,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-07-31,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-01,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-01,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-01,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-01,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-01,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-01,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-01,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-02,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-02,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-02,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,6.25
2026-08-02,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-02,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-02,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-02,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-03,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-03,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-03,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,6.25
2026-08-03,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-03,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-03,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-03,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-04,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-04,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-04,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-04,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-04,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-04,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-04,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-05,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-05,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-05,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,6.25
2026-08-05,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-05,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-05,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-05,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-06,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-06,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-06,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-06,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-06,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-06,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-06,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-07,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-07,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-07,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-07,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-07,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-07,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-07,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-08,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-08,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-08,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-08,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-08,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-08,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-08,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-09,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-09,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-09,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-09,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-09,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-09,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-09,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-10,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-10,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-10,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-10,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-10,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-10,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-10,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-11,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-11,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-11,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-11,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-11,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-11,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-11,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-12,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-12,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-12,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,6.25
2026-08-12,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-12,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-12,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-12,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-13,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-13,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-13,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,6.25
2026-08-13,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-13,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-13,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-13,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
2026-08-14,Campollano Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.34
2026-08-14,Rotuvall Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,9.44
2026-08-14,Esteba Sikaflex11FC,SIKAFLEX_11FC,Sika,Selladores,7.12
2026-08-14,Ferrokey SikaBoom180,SIKABOOM_180,Sika,Espumas,8.57
2026-08-14,Campollano Orbafoam Pistola,QUILOSA_ORBAFOAM_PIS,Quilosa,Espumas,12.71
2026-08-14,Modrego Soudafoam FR Pistola,SOUDAL_SOUDAFOAM_FR,Soudal,Espumas,19.42
2026-08-14,Ferrokey Penosil Pistola,PENOSIL_PISTOLA,Penosil,Espumas,10.70
